OSEBuildingID	%NaturalGas(kBtu)	%SteamUse(kBtu)	BuildingType	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SourceEUI(kBtu/sf)	SiteEnergyUse(kBtu)	TotalGHGEmissions	GHGEmissionsIntensity	tranche_date	BuildingAge	groups_neighborhood	groups_PrimaryPropertyType	GFABuildingRate
66	1.704828549598928	-5.199337582605575	NonResidential	-5.199337582605575	1.2253566257226682	0.7918781956634473	1.9259692267525281	-0.829269499847919	0.4904454482533399	1.003307975596305	0.6270106096778316	tranche_date1	108	Various	Various	5.19933758270342
67	0.528302964366589	-5.199337582605575	NonResidential	-5.199337582605575	0.8224485747698438	0.7404856597789068	0.8801879226323401	0.30994346239111076	0.4701707501168675	0.6866502811022328	0.3166581515711474	tranche_date2	57	Various	Various	-1.530721922376574
68	0.6981810667001802	-5.199337582605575	NonResidential	-5.199337582605575	1.2253566257226682	0.9340484140005841	0.8295139838318174	-0.0930652760088696	0.6362694920200844	0.9028371786011505	0.3538558790654129	tranche_date4	16	Various	Various	-1.0718615852378754
69	0.5641295233162658	-5.199337582605575	NonResidential	-5.199337582605575	1.0481072891215324	0.7670205135703313	0.6951298207741817	0.0879975662385028	0.5511392958793435	0.7638941427121135	0.4078732487477043	tranche_date3	19	Various	Various	-1.121693879163158
70	0.22758843269724816	-5.199337582605575	NonResidential	-5.199337582605575	1.0481072891215324	0.9599649464839395	0.7274768893035481	-0.35118321484033554	0.6532928379590467	0.7306940301472892	0.08802133454534494	tranche_date3	18	Various	Various	-1.0965874463562717
73	2.0927175134196956	-5.199337582605575	NonResidential	-5.199337582605575	0.23058751152675497	0.1759752636004725	0.5752381267761362	-0.6600534715175377	0.1487098651704043	0.6943205799644293	0.9773241574817539	tranche_date1	105	Various	Various	5.19933758270342
77	0.8713165813816997	-5.199337582605575	NonResidential	-5.199337582605575	0.5693210610934747	0.795221964712857	1.28613258542718	-0.012558588000631154	0.4784148699846063	0.788748372391274	0.4078732487477043	tranche_date3	17	Various	Various	-1.4843608966203017
82	0.4526963297602167	-5.199337582605575	NonResidential	-5.199337582605575	-0.25905710256854775	0.15716622842332162	0.4575238145055736	0.03464332112227687	0.17398690845213605	0.3760585586911059	0.5169222700797942	tranche_date2	54	Central	Various	5.19933758270342
84	1.5403803431373753	-5.199337582605575	NonResidential	-5.199337582605575	0.8224485747698438	1.1752883380581203	-0.843770621638798	0.8423077515079259	1.9780265059888302	2.654475822859399	2.0131395803735845	tranche_date1	94	South	Health	5.19933758270342
85	1.2889006592600845	-5.199337582605575	NonResidential	-5.199337582605575	-0.25905710256854775	0.5702876038621724	-5.199337582605575	1.1765305628319869	1.2693470285544408	1.7454268497836987	1.7960565361613794	tranche_date2	46	North	Health	5.19933758270342
86	0.025500324996550947	-5.199337582605575	NonResidential	-5.199337582605575	1.0481072891215324	0.48332466562781357	0.5313296234254816	0.20486788035194237	0.2519991066189439	0.21361935172319096	-0.05528448348247729	tranche_date4	8	Various	Various	-1.1388025650137554
89	0.4331312610848568	-5.199337582605575	NonResidential	-5.199337582605575	0.23058751152675497	1.0609037274439121	-0.9528198349421094	0.6952372675560305	1.2773367708991659	1.4796193723903914	0.8988407803955765	tranche_date2	51	Various	Health	5.19933758270342
95	1.2139133662216168	-5.199337582605575	NonResidential	-5.199337582605575	1.2253566257226682	0.4341084471797269	0.4575238145055736	0.36725763242455783	0.6927678893898456	1.097682273661242	1.2162093848482123	tranche_date1	108	Various	Various	5.19933758270342
96	-5.199337582605575	1.9137178568275042	NonResidential	-5.199337582605575	1.0481072891215324	0.6381297404898104	-0.13858315006072774	1.6134032661448348	1.223632833068919	1.5728144802045283	1.508195019996297	tranche_date3	33	Various	Various	-0.8259761252005046
98	1.303615250605704	-5.199337582605575	NonResidential	-5.199337582605575	-0.25905710256854775	0.22686772200018201	1.482239600357139	-1.7445852889059268	-0.8374503942302612	-0.1841645025742652	-0.17418070757860415	tranche_date1	87	Various	Commerce	5.19933758270342
100	-0.33525200791862364	-5.199337582605575	NonResidential	-5.199337582605575	0.8224485747698438	1.4481640611558297	1.482239600357139	0.08305684942952928	1.120461996874139	0.6696085827821231	-0.4997736464576177	tranche_date4	6	Various	Various	5.19933758270342
102	0.5110415397118185	-5.199337582605575	NonResidential	-5.199337582605575	1.2253566257226682	1.3353538088865893	-1.1157502416841865	0.4896241487203787	1.4177356859755041	1.62598878788077	0.6285076946639251	tranche_date3	26	Various	Various	-0.9275190880239428
103	-0.4277150357395925	1.7284072844394716	Nonresidential COS	-5.199337582605575	-5.199337582605575	1.6587917873940903	-0.13858315006072774	0.17726349175506187	1.5262377051833829	1.7435319154947981	0.4959549448632562	tranche_date2	54	Various	Various	5.19933758270342
104	-5.199337582605575	2.3340263905529772	Nonresidential COS	-5.199337582605575	-5.199337582605575	0.5524208090999521	-0.13858315006072774	0.9615617354658647	0.7665516308864841	1.297512842261039	1.292867490671877	tranche_date2	54	Various	Various	5.19933758270342
106	-5.199337582605575	2.22619289543721	Nonresidential COS	-5.199337582605575	0.8224485747698438	1.6814775947295364	-0.13858315006072774	0.009131770895122706	1.456974699207777	1.982272951366002	0.7263864909280077	tranche_date1	78	Various	Various	5.19933758270342
